title,description,pubDate,guid/_isPermaLink,guid/__text,link,creator,enclosure/_url,enclosure/_length,enclosure/_type,point
Coach bus service through Bozeman may shut down by year's end,Greyhound-style buses serving Bozeman and Belgrade will see service suspended if carrier Jefferson Lines can’t find a new location for a station in Bozeman by the end of December.,"Thu, 01 Dec 2016 05:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/0ee79a77-da6b-5db6-9923-2421990becce,https://www.bozemandailychronicle.com/news/coach-bus-service-through-bozeman-may-shut-down-by-year/article_0ee79a77-da6b-5db6-9923-2421990becce.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/f/70/f7084fae-39c5-567c-80ab-c025db95f37f/583f64490f145.image.jpg?resize=300%2C199,135135,image/jpeg,
"Homeless, at-risk women to get housing help in Bozeman",St. James Episcopal Church and nonprofit HRDC said Wednesday they’re opening up a historic church-owned home in downtown Bozeman as transitional housing to help homeless women get back on their feet.,"Wed, 30 Nov 2016 21:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/99fad77d-3aa2-5f8c-9cec-4d82c4a06df2,https://www.bozemandailychronicle.com/news/homeless-at-risk-women-to-get-housing-help-in-bozeman/article_99fad77d-3aa2-5f8c-9cec-4d82c4a06df2.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/1/d1/1d15b1ea-3fca-54da-b1d6-41cee2ee77b0/583f604a4469e.image.jpg?resize=300%2C184,117195,image/jpeg,45.676868 -111.037384
"As downtown neighbors fret over development, businesses worry about customer base","Downtown Bozeman may be booming now, but business boosters say it needs more residential development and live-in customers to secure the future of the city’s commercial core.","Wed, 30 Nov 2016 05:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/12517a29-6466-528d-84ab-049ffac5d55f,https://www.bozemandailychronicle.com/news/city/as-downtown-neighbors-fret-over-development-businesses-worry-about-customer/article_12517a29-6466-528d-84ab-049ffac5d55f.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/8/fe/8fe1b449-69ee-5d32-99a4-7d1a9fe9c336/583ded18379c1.image.jpg?resize=300%2C194,408301,image/jpeg,
"With downtown construction a hot topic, Bozeman commission to review planning docs","Under pressure from downtown neighbors concerned about a slew of major developments underway or proposed in the downtown area, Bozeman’s City Commission will discuss the various planning documents that govern the city’s approach to development review at its Monday evening…","Sun, 27 Nov 2016 00:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/7c1ef530-0e81-5bed-8662-66ccf46eceda,https://www.bozemandailychronicle.com/news/city/with-downtown-construction-a-hot-topic-bozeman-commission-to-review/article_7c1ef530-0e81-5bed-8662-66ccf46eceda.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/c/0d/c0da58bd-c1cf-55f6-9c3f-8135828986cc/583bd494e26f0.image.jpg?resize=300%2C200,325684,image/jpeg,
"Police Reports for Nov. 24, 2016",The Bozeman Police Department reports for Thursday included the following:,"Sat, 26 Nov 2016 00:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/a07fa9b6-0812-536d-b547-8af4e16e1a51,https://www.bozemandailychronicle.com/police_reports/police-reports-for-nov/article_a07fa9b6-0812-536d-b547-8af4e16e1a51.html,By Eric Dietrich Chronicle Staff Writer,,,,
"Holiday toy drive seeks donations, volunteers",Know someone in the Bozeman region who might struggle a bit this year with providing their kids the Christmas a child deserves?,"Sat, 26 Nov 2016 00:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/a73dff89-8225-53f0-87d5-4c2558ca9bb7,https://www.bozemandailychronicle.com/news/holiday-toy-drive-seeks-donations-volunteers/article_a73dff89-8225-53f0-87d5-4c2558ca9bb7.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/8/24/8244c0f9-fb03-5c30-a7da-8a958dd5e888/5835e1ca918f1.image.jpg?resize=300%2C200,203384,image/jpeg,
"Face of Change: Is Andy Holloran, reshaping downtown, the hero Bozeman needs?","Andy Holloran, the developer who has transformed entire blocks of downtown Bozeman in recent years, is slumped in a chair at city hall.","Sun, 20 Nov 2016 00:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/ab711917-6b8f-58c2-bfe9-75be50b62d35,https://www.bozemandailychronicle.com/news/city/face-of-change-is-andy-holloran-reshaping-downtown-the-hero/article_ab711917-6b8f-58c2-bfe9-75be50b62d35.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/2/5d/25d70b00-6168-57a5-b780-1692a92f5f9b/583081fd2ff93.image.jpg?resize=300%2C244,416858,image/jpeg,
Big Sky Youth Empowerment asks about renting Story Mansion carriage house,A local nonprofit that provides at-risk teens with outdoor activities has approached the city of Bozeman about renovating and renting the carriage house that’s part of the city-owned Story Mansion in central Bozeman.,"Sat, 19 Nov 2016 00:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/807d340a-e527-565a-8aac-04f3d8e6acd5,https://www.bozemandailychronicle.com/news/city/big-sky-youth-empowerment-asks-about-renting-story-mansion-carriage/article_807d340a-e527-565a-8aac-04f3d8e6acd5.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/b/7f/b7fb1d5c-324a-5218-923a-f4864f9ac093/582b9b077723c.image.jpg?resize=300%2C199,463781,image/jpeg,
"Growth the answer to Bozeman’s low wages, consultant says","If Bozeman wants to boost wages for its workforce, its best hope is encouraging economic growth so local industries have to compete for skilled employees, an economic development consultant told city commissioners this week.","Wed, 16 Nov 2016 05:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/d6d27c15-9e92-5860-bdab-afcf64f290e2,https://www.bozemandailychronicle.com/news/city/growth-the-answer-to-bozeman-s-low-wages-consultant-says/article_d6d27c15-9e92-5860-bdab-afcf64f290e2.html,By Eric Dietrich Chronicle Staff Writer,,,,
Officials grapple with justice center bond loss,"In their first meeting since voters defeated a pair of measures aimed at funding a $71.5 million police and courts campus, elected officials and other advocates for the project met Monday afternoon to lick their wounds and begin hammering out…","Tue, 15 Nov 2016 00:15:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/4f0e0982-887d-5b5d-9b45-4ba4a5ffa46e,https://www.bozemandailychronicle.com/news/city/officials-grapple-with-justice-center-bond-loss/article_4f0e0982-887d-5b5d-9b45-4ba4a5ffa46e.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/3/ab/3abd3923-10ba-549a-bab4-184e72bfec6e/57f8184dc033f.image.jpg?resize=300%2C181,355348,image/jpeg,
